MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
14.65,6.0399195,-72.087546,1,M037571,0.0,0.0
14.57,5.9986215,-72.087511,1,M037672,0.0,0.0
14.55,5.986839,-72.087488,1,M037746,0.0,0.0
14.38,6.046659,-72.087458,1,M037843,0.0,0.0
14.5,6.0116235,-72.087442,1,M037886,0.0,0.0
14.59,6.0573855000000005,-72.087382,1,M038066,0.0,0.0
14.57,6.0216959999999995,-72.087369,1,M038113,0.0,0.0
14.45,6.029817,-72.087345,1,M038175,0.0,0.0
14.5,6.0853155,-72.087293,1,M038333,0.0,0.0
14.46,6.0336285,-72.087267,1,M038416,0.0,0.0
13.98,6.050841,-72.087184,1,M038648,0.0,0.0
14.69,5.968840500000001,-72.08706,1,M039042,0.0,0.0
13.99,6.043059,-72.087025,1,M039141,0.0,0.0
13.58,6.0315270000000005,-72.087023,1,M039147,0.0,0.0
14.07,5.9796885,-72.086939,1,M039415,0.0,0.0
14.27,6.032964,-72.086939,1,M039416,0.0,0.0
14.24,6.02673,-72.086938,1,M039419,0.0,0.0
14.61,5.998104,-72.086926,1,M039458,0.0,0.0
13.64,6.019435499999999,-72.086922,1,M039477,0.0,0.0
14.64,5.979652499999999,-72.086913,0,M039502,0.0,0.0
14.21,6.0151725,-72.086893,1,M039565,0.0,0.0
13.94,6.070132500000001,-72.086809,1,M039819,0.0,0.0
14.41,6.0086745,-72.086805,1,M039835,0.0,0.0
14.75,6.0397305,-72.08678,1,M039906,0.0,0.0
14.58,5.9911875,-72.08673,1,M040074,0.0,0.0
14.55,6.035298,-72.086725,1,M040088,0.0,0.0
14.64,5.9735325,-72.086544,1,M040666,0.0,0.0
14.31,6.02931,-72.086483,1,M040859,0.0,0.0
14.6,6.039951,-72.086467,1,M040916,0.0,0.0
13.12,6.0359415,-72.086447,1,M040986,0.0,0.0
14.25,6.0219945,-72.086434,1,M041016,0.0,0.0
14.03,6.0072855,-72.086428,1,M041031,0.0,0.0
14.6,5.9961405,-72.086324,1,M041343,0.0,0.0
13.81,5.9553495000000005,-72.086251,1,M041558,0.0,0.0
14.37,6.045069,-72.086189,1,M041757,0.0,0.0
14.43,6.004550999999999,-72.086179,1,M041789,0.0,0.0
13.95,5.970867,-72.086157,1,M041861,0.0,0.0
13.82,6.0277365000000005,-72.08615,1,M041883,0.0,0.0
13.9,6.0332625,-72.086146,1,M041897,0.0,0.0
14.66,6.098502,-72.086083,1,M042086,0.0,0.0
12.95,6.032124,-72.086079,1,M042097,0.0,0.0
12.93,6.016389,-72.086055,1,M042193,0.0,0.0
14.61,6.036414,-72.086029,1,M042267,0.0,0.0
13.9,5.96331,-72.086019,1,M042305,0.0,0.0
14.21,6.0128205,-72.085994,1,M042378,0.0,0.0
14.97,6.102717,-72.085966,1,M042471,0.0,0.0
14.47,5.9861955,-72.085926,1,M042598,0.0,0.0
13.28,6.023877,-72.085876,1,M042754,0.0,0.0
14.53,6.001296,-72.085872,1,M042763,0.0,0.0
13.22,6.04629,-72.085872,1,M042764,0.0,0.0
13.49,6.0357435,-72.085857,1,M042810,0.0,0.0
13.42,6.0600404999999995,-72.085844,1,M042849,0.0,0.0
14.74,6.0159225,-72.085832,1,M042882,0.0,0.0
14.62,6.069703499999999,-72.085827,1,M042906,0.0,0.0
14.39,6.0094080000000005,-72.085816,1,M042935,0.0,0.0
14.2,6.035499000000001,-72.085811,1,M042948,0.0,0.0
14.03,6.042381,-72.085768,1,M043074,0.0,0.0
14.37,6.007113,-72.085747,1,M043138,0.0,0.0
14.62,5.9408505,-72.085732,1,M043199,0.0,0.0
14.37,6.0103485,-72.085729,1,M043206,0.0,0.0
14.05,6.0264795,-72.085571,1,M043696,0.0,0.0
13.52,6.0047505,-72.08556,1,M043726,0.0,0.0
14.43,6.0290595,-72.085525,1,M043823,0.0,0.0
13.76,6.011637,-72.085481,1,M043944,0.0,0.0
13.18,5.977876500000001,-72.085463,1,M044000,0.0,0.0
14.36,6.023166000000001,-72.085449,1,M044035,0.0,0.0
12.69,6.032344500000001,-72.085439,1,M044076,0.0,0.0
14.52,6.0534435,-72.085433,1,M044094,0.0,0.0
14.99,6.0076920000000005,-72.085417,1,M044151,0.0,0.0
14.79,6.0021345,-72.085359,1,M044320,0.0,0.0
14.44,6.045094499999999,-72.085345,1,M044362,0.0,0.0
14.13,6.02331,-72.085327,1,M044416,0.0,0.0
14.42,6.020529000000001,-72.085323,1,M044433,0.0,0.0
13.25,6.0101745,-72.085314,1,M044461,0.0,0.0
13.82,6.017139,-72.085307,1,M044487,0.0,0.0
13.78,6.048324,-72.085302,1,M044495,0.0,0.0
14.68,5.9524545,-72.085293,1,M044525,0.0,0.0
14.57,5.9771955,-72.085259,1,M044636,0.0,0.0
14.66,6.036345,-72.085252,1,M044659,0.0,0.0
14.26,6.0230145,-72.085243,1,M044692,0.0,0.0
12.75,5.9707755,-72.085242,1,M044696,0.0,0.0
12.61,6.012315,-72.085237,1,M044711,0.0,0.0
14.54,6.03783,-72.085225,1,M044755,0.0,0.0
14.44,5.988364499999999,-72.085219,1,M044779,0.0,0.0
14.37,5.949267000000001,-72.085157,1,M045001,0.0,0.0
