MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
36834,6.0352785281258186,-72.09095264444444,0.0,0.0,-0.22012,0.01664,0.09612,0.01408,13,1.5310000000000041,14.155,13.366,9.9,9.9,13.040654819847004,7217859.347963073
62078,6.0554963645714235,-72.07882136666666,0.0,0.0,0.15276,0.08656,-0.19328,0.09316,9,1.9220000000000024,14.13,13.367,9.9,9.9,13.041654819847006,7217859.347963073
66007,6.03654204022288,-72.0804306111111,0.0,0.0,0.36844,0.02044,0.298,0.01448,32,1.684000000000001,14.148,13.369,9.9,9.9,13.043654819847005,7217859.347963073
41913,6.011795439449478,-72.08448383333332,0.0,0.0,-1.12428,0.01252,-0.37272,0.03096,16,1.8880000000000088,14.16,13.393,9.9,9.9,13.067654819847005,7217859.347963073
42082,6.01086758713452,-72.08747904444444,0.0,0.0,0.4798,0.01192,0.78204,0.03372,12,1.6520000000000081,14.18,13.397,9.9,9.9,13.071654819847005,7217859.347963073
56417,6.095583096991444,-72.0754846,0.0,0.0,-0.8816,0.05708,-0.34756,0.10756,10,1.622000000000007,14.198,13.412,9.9,9.9,13.086654819847006,7217859.347963073
60752,6.0640129226715995,-72.07521878888888,0.0,0.0,-0.54868,0.06992,0.5012,0.04952,10,1.9690000000000012,14.177,13.414,9.9,9.9,13.088654819847005,7217859.347963073
63867,6.046626722298806,-72.07909497777777,0.0,0.0,0.0054,0.09232,-0.24988,0.0434,10,1.767000000000012,14.199,13.422,9.9,9.9,13.096654819847005,7217859.347963073
16936,5.99774994412969,-72.09816622222222,0.0,0.0,0.85756,0.03164,0.71816,0.03536,12,1.7689999999999841,14.201,13.424,9.9,9.9,13.098654819847004,7217859.347963073
41703,6.012740587560323,-72.08401782222221,0.0,0.0,1.04824,0.02548,0.00776,0.0294,17,1.8480000000000238,14.2,13.428,9.9,9.9,13.102654819847006,7217859.347963073
44658,5.998289585061041,-72.08507314444444,0.0,0.0,-0.52984,0.0548,0.85276,0.09472,7,1.9840000000000018,14.192,13.429,9.9,9.9,13.103654819847005,7217859.347963073
58685,6.07771183216507,-72.07322022222222,0.0,0.0,0.51988,0.01668,-0.805,0.05148,10,1.7890000000000033,14.205,13.429,9.9,9.9,13.103654819847005,7217859.347963073
39072,6.025096809050294,-72.08255743333332,0.0,0.0,0.5906,0.02248,0.38268,0.01456,66,1.9559999999999906,14.196,13.431,9.9,9.9,13.105654819847004,7217859.347963073
69563,6.018119389476302,-72.07901368888888,0.0,0.0,-0.21992,0.0596,0.91536,0.03084,20,1.931000000000008,14.203,13.436,9.9,9.9,13.110654819847005,7217859.347963073
