MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M075573,0 24 4.77576,-72 4 33.5064,-0.687,0.165,18.709,19.681,18.65
M075591,0 24 4.75308,-72 4 33.4812,-0.104,-0.452,18.968,20.105,18.93
M075615,0 23 50.35992,-72 4 33.456,0.417,-0.389,18.158,18.946,18.35
M075621,0 23 52.44972,-72 4 33.4524,-1.4,1.36,19.717,21.282,19.91
M075625,0 23 53.6586,-72 4 33.4488,0.369,-0.382,18.082,18.836,18.3
M075628,0 23 44.76804,-72 4 33.4452,-0.582,0.804,19.188,20.435,19.46
M075636,0 23 54.35952,-72 4 33.438,-0.225,-0.103,17.581,18.337,17.83
M075647,0 24 6.98832,-72 4 33.4236,1.0,-0.566,17.331,18.354,17.49
M075662,0 24 5.23044,-72 4 33.4128,-0.758,-0.198,19.495,20.697,19.48
M075663,0 23 57.87636,-72 4 33.4092,0.639,-0.317,18.045,18.762,18.2
M075685,0 23 57.41988,-72 4 33.3804,0.475,-0.408,18.028,18.799,18.19
M075686,0 24 5.06448,-72 4 33.3804,-0.216,-0.609,18.704,19.65,18.86
M075716,0 23 57.59448,-72 4 33.3444,0.725,-0.103,19.065,20.142,19.31
M075727,0 24 5.72724,-72 4 33.3372,-0.283,-0.137,18.934,20.017,19.08
M075733,0 23 56.61168,-72 4 33.3264,-0.507,-0.534,18.282,19.135,18.53
M075734,0 23 55.94856,-72 4 33.3264,-1.08,0.24,18.234,19.031,18.44
M075739,0 23 50.84736,-72 4 33.3228,-0.177,0.361,17.317,18.177,17.54
M075751,0 23 49.35048,-72 4 33.3156,0.176,-1.4,17.807,18.543,17.92
M075759,0 23 56.92308,-72 4 33.3048,-0.25,-0.289,18.306,19.066,18.45
M075762,0 24 5.13936,-72 4 33.3048,0.768,0.829,17.417,18.238,17.57
M075776,0 23 54.18312,-72 4 33.2904,0.396,0.184,17.224,18.263,17.48
M075787,0 24 6.22836,-72 4 33.2796,-0.416,0.012,19.068,20.399,19.28
M075788,0 23 51.44028,-72 4 33.2796,0.219,0.173,19.362,20.937,19.68
M075789,0 24 6.71688,-72 4 33.2796,0.153,0.103,18.01,18.837,18.18
M075806,0 24 5.82444,-72 4 33.2508,-1.03,0.491,18.79,19.722,18.92
M075809,0 23 56.08644,-72 4 33.2472,0.334,0.961,18.133,18.99,18.37
M075818,0 23 57.15636,-72 4 33.24,-0.742,-1.08,17.702,18.436,17.88
M075819,0 23 52.06164,-72 4 33.24,0.456,-0.0637,17.559,18.362,17.76
M075823,0 23 49.92864,-72 4 33.2364,0.783,0.283,19.873,21.775,20.17
M075825,0 24 5.3946,-72 4 33.2328,0.319,1.49,19.782,21.63,19.8
M075833,0 24 4.6962,-72 4 33.222,0.686,-0.505,17.726,19.047,17.88
M075839,0 23 54.61224,-72 4 33.2148,-0.258,0.821,18.388,19.284,18.62
M075873,0 23 52.50912,-72 4 33.1824,0.459,1.91,19.804,21.414,20.05
M075878,0 24 5.77368,-72 4 33.1752,0.579,-0.242,18.669,19.562,18.77
