MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
84729,0.7208,30.2303,,84729,13.68,21.08,1,100.0,6.024276,-72.072886,0.0,0.0
96278,-20.9691,45.91,,96278,13.68,25.85,1,99.86,6.004706,-72.068531,0.0,0.0
52296,-4.5324,-5.983,M,52296,13.69,23.94,1,99.89,6.019533,-72.082946,0.0,0.0
51754,-19.3535,-6.5563,,51754,13.7,24.45,1,99.93,6.00615,-72.083105,0.0,0.0
62718,16.9258,4.8893,,62718,13.7,21.83,1,99.94,6.038906,-72.079925,0.0,0.0
76080,-59.7398,19.6793,,76080,13.71,26.77,1,100.0,5.969704,-72.075817,0.0,0.0
116869,92.5221,82.2781,,116869,13.71,23.18,1,100.0,6.107055,-72.058429,0.0,0.0
124826,91.8736,101.6556,,124826,13.72,26.51,1,100.0,6.106447,-72.053046,0.0,0.0
57474,-16.3963,-0.5247,,57474,13.74,23.1,1,99.74,6.008821,-72.081429,0.0,0.0
78582,-65.2291,22.6725,,78582,13.74,25.08,1,100.0,5.964753,-72.074986,0.0,0.0
82468,-40.1064,27.3722,,82468,13.74,22.41,1,100.0,5.98743,-72.07368,0.0,0.0
114133,-25.908,76.4563,,114133,13.74,26.34,1,100.0,6.000261,-72.060046,0.0,0.0
50606,-1.0859,-7.7367,,50606,13.75,20.86,1,99.85,6.022644,-72.083433,0.0,0.0
77415,-50.0379,21.2474,,77415,13.75,22.21,1,100.0,5.978463,-72.075382,0.0,0.0
79910,86.1256,24.2287,,79910,13.75,23.42,1,100.0,6.101355,-72.074553,0.0,0.0
8263,68.2385,-65.79,,8263,13.76,23.1,1,100.0,6.085294,-72.099559,0.0,0.0
43944,-13.2743,-15.1125,,43944,13.76,22.16,1,99.81,6.011637,-72.085481,0.0,0.0
49916,6.1194,-8.4965,,49916,13.76,21.66,1,100.0,6.029151,-72.083644,0.0,0.0
70908,20.795,13.8246,,70908,13.77,22.99,1,99.93,6.042396,-72.077443,0.0,0.0
5042,41.5892,-73.2392,,5042,13.78,15.64,1,100.0,6.061215,-72.101628,0.0,0.0
44495,27.3502,-14.4677,,44495,13.78,24.81,1,99.94,6.048324,-72.085302,0.0,0.0
66559,19.8757,9.0503,,66559,13.78,23.32,1,99.88,6.041568,-72.07877,0.0,0.0
74376,4.9705,17.7724,,74376,13.78,21.55,1,99.89,6.028111,-72.076347,0.0,0.0
45329,32.3952,-13.58,,45329,13.79,24.28,1,100.0,6.052879,-72.085056,0.0,0.0
58290,-15.615,0.3223,,58290,13.8,23.27,1,99.7,6.009526,-72.081194,0.0,0.0
67449,48.1459,10.0278,,67449,13.8,19.56,1,100.0,6.067087,-72.078498,0.0,0.0
72247,-0.2224,15.3423,,72247,13.8,21.35,1,99.83,6.023424,-72.077022,0.0,0.0
83911,31.8696,29.1995,,83911,13.8,21.56,1,100.0,6.052386,-72.073173,0.0,0.0
34939,8.5015,-25.7553,,34939,13.81,23.66,1,99.94,6.031304,-72.088438,0.0,0.0
41558,-75.6025,-17.8839,,41558,13.81,27.52,1,100.0,5.955349,-72.086251,0.0,0.0
67750,-4.3065,10.35,,67750,13.81,21.27,1,99.73,6.019737,-72.078409,0.0,0.0
80721,50.3119,25.2021,,80721,13.81,22.3,1,99.95,6.069031,-72.074283,0.0,0.0
11981,67.2163,-59.0501,,11981,13.82,23.55,1,100.0,6.084364,-72.097686,0.0,0.0
41883,4.5522,-17.52,,41883,13.82,22.41,1,99.88,6.027736,-72.08615,0.0,0.0
44487,-7.1822,-14.4833,,44487,13.82,23.63,1,99.89,6.017139,-72.085307,0.0,0.0
62301,-43.48,4.4586,,62301,13.82,22.08,1,99.96,5.984371,-72.080045,0.0,0.0
121180,-18.5972,92.0082,,121180,13.82,25.41,1,100.0,6.006858,-72.055726,0.0,0.0
55758,2.9074,-2.3297,,55758,13.83,18.68,1,99.91,6.02625,-72.081931,0.0,0.0
47482,-0.8184,-11.1668,,47482,13.84,22.27,1,99.8,6.022886,-72.084385,0.0,0.0
77672,-9.6796,21.5681,,77672,13.84,19.06,1,100.0,6.014889,-72.075292,0.0,0.0
111813,22.274,71.8015,,111813,13.84,24.7,1,100.0,6.043713,-72.061339,0.0,0.0
113462,111.1158,75.0662,,113462,13.84,30.29,1,100.0,6.123832,-72.060432,0.0,0.0
11642,54.2468,-59.6529,,11642,13.85,24.37,1,100.0,6.072645,-72.097854,0.0,0.0
63217,-23.9062,5.3843,,63217,13.85,23.77,1,99.93,6.002043,-72.079788,0.0,0.0
80074,1.017,24.4255,,80074,13.85,19.85,1,99.94,6.024543,-72.074499,0.0,0.0
106037,33.6041,61.4531,,106037,13.85,23.39,1,99.95,6.053937,-72.064213,0.0,0.0
107924,-12.0993,64.8186,,107924,13.85,24.71,1,100.0,6.012712,-72.063278,0.0,0.0
112244,-18.4593,72.6142,,112244,13.85,25.32,1,100.0,6.006976,-72.061113,0.0,0.0
61604,5.1801,3.7205,M,61604,13.86,22.56,1,99.93,6.028302,-72.08025,0.0,0.0
70622,-17.4576,13.5135,,70622,13.86,22.62,1,99.91,6.007866,-72.07753,0.0,0.0
86211,60.4156,32.1414,,86211,13.86,21.9,1,100.0,6.078146,-72.072355,0.0,0.0
91075,55.5626,38.6417,,91075,13.86,24.39,1,100.0,6.073761,-72.07055,0.0,0.0
4356,-15.9486,-75.2271,,4356,13.88,24.33,1,100.0,6.00921,-72.10218,0.0,0.0
99782,41.0961,51.1084,,99782,13.88,25.15,1,100.0,6.060701,-72.067087,0.0,0.0
23911,6.4522,-40.4345,,23911,13.89,19.39,1,99.9,6.029454,-72.092515,0.0,0.0
60016,6.0864,2.1052,,60016,13.89,21.87,1,99.91,6.029119,-72.080699,0.0,0.0
72721,-2.7205,15.856,,72721,13.89,22.55,1,99.83,6.021169,-72.076879,0.0,0.0
95565,3.8235,44.875,,95565,13.89,22.46,1,99.95,6.027075,-72.068818,0.0,0.0
41897,10.6724,-17.5038,,41897,13.9,23.22,1,99.69,6.033262,-72.086146,0.0,0.0
42305,-66.7878,-17.0484,,42305,13.9,24.87,1,100.0,5.96331,-72.086019,0.0,0.0
67334,-31.6079,9.9066,,67334,13.9,22.78,1,99.9,5.995092,-72.078532,0.0,0.0
81591,-75.3075,26.3084,,81591,13.9,23.62,1,100.0,5.95566,-72.073976,0.0,0.0
60230,1.7994,2.3251,,60230,13.91,18.09,1,99.78,6.025249,-72.080638,0.0,0.0
70487,-10.3085,13.3506,,70487,13.91,22.99,1,99.84,6.014321,-72.077575,0.0,0.0
101119,-30.4802,53.2963,,101119,13.91,24.27,1,99.94,5.996129,-72.066479,0.0,0.0
111823,34.7048,71.8195,,111823,13.91,23.83,1,99.95,6.054924,-72.061334,0.0,0.0
